13.3,-79.4,20121023,0,27,1001
12.7,-78.8,20121023,600,28,1000
13.3,-78.5,20121023,1200,36,998
14.4,-78.2,20121023,1800,36,996
15.0,-78.2,20121024,0,37,995
16.1,-78.0,20121024,600,38,994
17.2,-78.0,20121024,1200,39,993
18.6,-78.2,20121024,1800,44,993
19.1,-78.6,20121025,0,41,990
20.0,-78.0,20121025,600,40,989
21.2,-78.0,20121025,1200,43,990
21.8,-78.0,20121025,1800,39,990
22.8,-77.6,20121026,0,48,988
23.4,-78.2,20121026,600,48,987
23.4,-78.5,20121026,1200,47,985
24.0,-78.5,20121026,1800,44,984
24.4,-78.5,20121027,0,49,983
25.4,-78.0,20121027,600,47,982
25.9,-77.6,20121027,1200,47,980
28.2,-76.0,20121028,0,48,979
31.5,-75.0,20121028,1200,49,973
33.5,-74.6,20121028,1800,54,967
36.3,-74.3,20121029,0,60,962
38.3,-74.3,20121029,600,63,953
40.3,-75.4,20121029,1200,53,952
42.2,-77.4,20121029,1800,46,960
43.4,-78.5,20121030,0,43,965
43.9,-78.8,20121030,600,42,972
45.3,-78.8,20121030,1200,43,981
47.0,-79.1,20121030,1800,34,987
48.7,-80.2,20121031,0,31,991
51.5,-80.5,20121031,600,24,991
