13.3,-79.4,20121023,0,26,1002
13.0,-78.8,20121023,600,27,1000
13.3,-78.2,20121023,1200,31,999
14.4,-78.2,20121023,1800,38,996
15.0,-78.5,20121024,0,36,995
15.8,-78.0,20121024,600,39,995
17.2,-77.7,20121024,1200,42,994
18.6,-78.0,20121024,1800,46,993
19.2,-78.0,20121025,0,41,990
20.0,-77.7,20121025,600,40,989
21.4,-77.1,20121025,1200,39,990
22.6,-76.5,20121025,1800,38,988
23.7,-75.7,20121026,0,45,986
24.5,-76.5,20121026,600,51,985
24.7,-77.5,20121026,1200,47,983
24.8,-77.4,20121026,1800,45,982
25.7,-77.4,20121027,0,46,980
26.5,-77.7,20121027,600,47,978
26.7,-77.7,20121027,1200,45,977
27.4,-77.7,20121027,1800,48,976
27.8,-77.2,20121028,0,54,973
28.5,-76.4,20121028,600,53,973
29.3,-75.3,20121028,1200,50,971
30.8,-74.4,20121028,1800,48,969
32.7,-74.1,20121029,0,59,965
34.5,-73.9,20121029,600,70,956
36.1,-73.2,20121029,1200,89,953
38.3,-71.8,20121029,1800,77,951
42.0,-72.0,20121030,0,61,955
45.6,-75.7,20121030,600,38,962
46.8,-79.0,20121030,1200,42,969
46.5,-80.8,20121030,1800,41,973
46.2,-79.9,20121031,0,44,980
48.4,-78.8,20121031,600,42,987
