13.3,-79.4,20121023,0,25,1002
13.0,-79.4,20121023,600,25,1001
13.0,-78.8,20121023,1200,27,1000
13.9,-78.5,20121023,1800,34,998
14.7,-78.0,20121024,0,32,997
15.5,-77.7,20121024,600,36,996
16.7,-77.1,20121024,1200,38,997
17.8,-77.0,20121024,1800,40,995
18.9,-76.5,20121025,0,42,993
19.5,-76.8,20121025,600,40,993
21.7,-76.8,20121025,1200,41,992
22.6,-77.4,20121025,1800,42,990
23.4,-77.1,20121026,0,42,989
24.0,-77.1,20121026,600,48,986
25.0,-77.6,20121026,1200,45,987
25.7,-78.5,20121026,1800,46,987
25.7,-79.1,20121027,0,45,985
26.2,-78.5,20121027,600,44,984
27.1,-78.2,20121027,1200,45,983
28.5,-78.2,20121027,1800,43,980
29.3,-77.1,20121028,0,47,976
30.7,-76.5,20121028,600,53,972
32.0,-76.2,20121028,1200,60,968
33.0,-74.3,20121028,1800,60,966
35.5,-73.7,20121029,0,58,960
37.7,-76.3,20121029,600,58,948
38.6,-77.7,20121029,1200,44,958
38.9,-78.2,20121029,1800,44,973
39.7,-80.5,20121030,0,41,983
40.6,-79.9,20121030,600,35,987
41.7,-82.2,20121030,1200,33,990
42.5,-81.9,20121030,1800,29,992
