13.3,-79.4,20121023,0,22,1003
13.0,-78.8,20121023,600,25,1001
13.3,-78.5,20121023,1200,28,1001
14.1,-78.5,20121023,1800,29,998
14.8,-77.9,20121024,0,27,999
15.1,-77.4,20121024,600,38,997
16.4,-77.1,20121024,1200,38,997
17.2,-77.1,20121024,1800,38,996
18.9,-76.8,20121025,0,36,994
20.3,-76.5,20121025,600,40,994
22.0,-76.3,20121025,1200,41,993
23.4,-76.5,20121025,1800,40,991
24.8,-76.3,20121026,0,50,989
25.9,-77.1,20121026,600,50,985
26.3,-77.8,20121026,1200,47,985
26.2,-78.8,20121026,1800,46,983
25.9,-78.5,20121027,0,46,979
26.2,-77.7,20121027,600,48,979
27.4,-77.1,20121027,1200,46,975
27.6,-76.8,20121027,1800,47,972
28.2,-75.1,20121028,0,49,971
29.6,-73.7,20121028,600,48,969
31.0,-72.3,20121028,1200,50,968
32.4,-70.6,20121028,1800,49,967
34.1,-69.5,20121029,0,52,962
34.9,-68.4,20121029,600,54,959
36.3,-66.7,20121029,1200,60,957
38.3,-66.1,20121029,1800,69,956
40.0,-67.0,20121030,0,67,951
42.2,-69.2,20121030,600,62,943
43.4,-72.0,20121030,1200,46,951
43.9,-73.7,20121030,1800,47,962
45.1,-74.3,20121031,0,43,971
46.2,-74.9,20121031,600,41,976
