13.3,-79.4,20121023,0,24,1003
13.0,-78.5,20121023,600,26,1000
13.6,-78.5,20121023,1200,30,999
13.9,-78.5,20121023,1800,32,997
14.4,-77.7,20121024,0,34,997
15.0,-77.7,20121024,600,37,995
16.1,-77.1,20121024,1200,36,995
17.0,-76.5,20121024,1800,41,991
18.4,-76.0,20121025,0,43,989
19.2,-75.7,20121025,600,45,987
20.6,-74.6,20121025,1200,48,984
21.2,-74.3,20121025,1800,45,983
22.3,-73.5,20121026,0,50,982
23.4,-73.2,20121026,600,52,979
24.5,-73.2,20121026,1200,48,983
25.9,-74.3,20121026,1800,54,983
25.9,-74.9,20121027,0,50,980
26.8,-75.4,20121027,600,53,975
27.4,-75.7,20121027,1200,50,974
27.9,-75.4,20121027,1800,50,974
28.8,-75.1,20121028,0,50,971
29.0,-74.6,20121028,600,50,970
30.2,-73.2,20121028,1200,52,969
31.0,-72.6,20121028,1800,52,966
32.1,-71.8,20121029,0,53,959
33.3,-70.6,20121029,600,56,958
34.9,-70.9,20121029,1200,63,947
35.2,-70.9,20121029,1800,74,943
36.1,-69.5,20121030,0,72,939
36.9,-69.2,20121030,600,59,939
38.0,-69.0,20121030,1200,55,938
38.7,-69.5,20121030,1800,57,938
39.7,-69.0,20121031,0,56,941
40.8,-69.2,20121031,600,54,943
42.0,-69.8,20121031,1200,51,948
42.8,-70.9,20121031,1800,48,955
43.9,-72.6,20121101,0,38,969
44.5,-75.1,20121101,600,35,975
43.1,-76.2,20121101,1200,39,980
42.0,-74.0,20121101,1800,38,986
