13.3,-79.4,20121023,0,25,1002
13.0,-79.4,20121023,600,23,1000
13.3,-79.1,20121023,1200,28,999
13.9,-78.8,20121023,1800,34,997
15.0,-78.0,20121024,0,36,997
16.1,-77.7,20121024,600,38,996
17.2,-77.1,20121024,1200,40,996
18.9,-76.8,20121024,1800,41,995
18.9,-77.4,20121025,0,38,994
19.5,-76.5,20121025,600,37,994
21.2,-76.5,20121025,1200,37,994
22.3,-76.3,20121025,1800,37,993
23.7,-76.0,20121026,0,41,992
24.5,-76.3,20121026,600,44,990
25.4,-76.5,20121026,1200,49,990
25.4,-77.3,20121026,1800,46,988
25.9,-77.1,20121027,0,48,988
26.2,-77.4,20121027,600,45,988
26.2,-77.1,20121027,1200,42,988
26.2,-76.3,20121027,1800,41,987
26.5,-74.3,20121028,0,41,986
27.6,-71.5,20121028,600,44,986
31.0,-70.6,20121028,1200,48,984
32.1,-67.5,20121028,1800,47,982
32.7,-65.6,20121029,0,50,981
33.3,-65.0,20121029,600,49,973
33.8,-62.8,20121029,1200,51,973
34.1,-58.3,20121029,1800,53,976
34.1,-50.4,20121030,0,44,988
