Lat,Lon
28.050012536017867,-58.56665210477057
28.191696093446357,-58.42495412141002
28.45004989313892,-57.89990976291432
28.38338146046428,-57.28326790563906
28.31007294585325,-56.44995050258478
28.308478112812246,-55.6001634575492
28.36702247961365,-54.87557070354538
28.384155806738498,-54.393057666553275
28.0309224395514,-54.08127061616402
27.688496041446392,-54.36418002658187
27.61415137720765,-54.25288060461668
27.714759144107777,-54.05406385409554
27.76604364464568,-53.792913211620856
28.046830655484946,-53.907637404764344
27.962173256819487,-53.70716009214252
28.019594429603472,-53.42001425836938
28.66787417309491,-52.8191845420068
27.67326571044743,-52.93702652695991
28.56300576776966,-52.46079203077925
29.019874862753095,-52.04431306023915
29.276614853773655,-51.58469760390572
29.419678371652434,-51.238978991824766
29.706000521034284,-50.72319457377298
29.94880280624267,-50.28220139332764
30.40753407594403,-49.93271498245214
29.290739013232905,-49.28487741722556
32.72884923105451,-49.38069524657351
30.886446645923748,-49.34055522193336
30.989411717321545,-48.93975120752536
31.245038176809974,-48.55812090027156
31.477395253233773,-48.15435349677821
32.17813924968207,-46.463640799250776
31.819876432270608,-46.728714523182546
32.63707484256366,-44.94048349548668
33.089825273327925,-43.961436707040576
32.90809076055626,-43.87215883597199
32.967397494468564,-42.11296189473413
32.902877307455675,-41.087614080174
34.59411356963566,-40.134319240771596
35.0121775837075,-39.49551072598447
35.39043261295179,-39.15056878818405
