latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
24.7,129.4,970.0,29.8
24.900000000000002,128.7,965.0,31.900000000000002
24.900000000000002,128.2,965.0,29.8
25.2,127.8,960.0,33.4
25.400000000000002,127.4,958.0,30.900000000000002
25.5,126.7,955.0,33.4
25.5,126.2,954.0,33.4
25.6,125.8,955.0,31.400000000000002
25.900000000000002,125.7,953.0,34.5
25.900000000000002,125.60000000000001,953.0,37.0
25.900000000000002,125.5,958.0,30.900000000000002
26.400000000000002,125.9,959.0,29.3
27.0,126.8,959.0,33.4
27.8,127.4,959.0,31.400000000000002
28.5,127.9,959.0,30.900000000000002
29.2,128.3,955.0,32.9
29.8,129.2,956.0,34.5
30.6,129.9,954.0,30.400000000000002
30.900000000000002,131.0,958.0,30.400000000000002
31.5,131.4,959.0,28.3
31.7,132.1,959.0,28.3
32.2,132.8,961.0,27.8
32.8,133.5,965.0,27.3
33.8,133.2,965.0,26.200000000000003
34.300000000000004,133.4,972.0,24.700000000000003
35.5,133.8,973.0,21.6
36.5,133.3,975.0,20.6
37.300000000000004,134.0,975.0,21.1
39.2,135.1,976.0,22.1
41.300000000000004,136.5,977.0,22.1
44.1,137.6,977.0,23.200000000000003
46.800000000000004,139.8,977.0,24.200000000000003
49.300000000000004,142.4,981.0,21.1
