latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
24.6,129.3,96700.0,32.9
24.8,128.3,96400.0,32.9
25.0,127.8,96300.0,29.3
25.2,127.3,95800.0,31.900000000000002
25.6,126.7,95800.0,30.900000000000002
25.7,125.9,95700.0,32.9
25.6,125.3,95700.0,37.0
25.900000000000002,124.9,95800.0,34.0
25.900000000000002,124.8,96000.0,37.6
26.0,124.7,95900.0,35.5
25.8,124.7,95900.0,33.4
25.900000000000002,124.8,95800.0,37.0
26.0,124.8,95800.0,34.5
25.900000000000002,125.7,95800.0,32.4
26.2,126.2,96200.0,29.3
26.400000000000002,126.60000000000001,96300.0,26.8
26.6,127.5,96700.0,26.200000000000003
26.8,128.1,96600.0,27.3
26.7,128.6,96700.0,25.700000000000003
26.5,129.0,96700.0,26.200000000000003
26.400000000000002,129.4,96900.0,26.200000000000003
26.1,129.9,96500.0,28.3
25.8,130.4,96800.0,25.200000000000003
25.6,131.0,96700.0,26.200000000000003
25.8,131.7,96600.0,27.8
25.3,132.2,96200.0,29.3
25.3,132.4,96300.0,28.8
25.400000000000002,132.8,96300.0,27.3
25.400000000000002,133.2,96400.0,26.200000000000003
25.7,133.5,96500.0,25.200000000000003
25.900000000000002,133.6,96800.0,25.200000000000003
26.3,133.4,96600.0,26.8
26.1,133.5,96800.0,25.700000000000003
26.5,133.1,96600.0,27.3
26.8,132.6,96600.0,25.700000000000003
27.1,132.1,96400.0,25.700000000000003
27.5,131.5,96500.0,24.200000000000003
27.7,130.9,96400.0,26.8
28.2,130.2,96600.0,24.700000000000003
28.5,129.7,96400.0,25.200000000000003
29.0,128.9,96400.0,25.200000000000003
