latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
24.6,129.7,97300.0,29.3
25.2,128.5,97000.0,27.8
25.2,127.8,96900.0,33.4
25.400000000000002,127.4,96500.0,32.4
25.900000000000002,126.60000000000001,96200.0,30.400000000000002
26.0,125.3,95700.0,32.4
25.7,124.5,95600.0,35.5
25.8,124.3,95700.0,43.7
26.3,124.0,95800.0,42.2
26.8,123.2,95800.0,38.1
26.1,122.4,96100.0,38.1
26.6,122.4,96400.0,35.5
26.6,122.4,96800.0,32.4
26.3,122.4,97000.0,32.9
26.400000000000002,122.9,97100.0,30.400000000000002
26.8,123.9,97300.0,28.8
27.5,124.8,97300.0,29.3
28.0,125.60000000000001,97200.0,27.8
28.3,125.8,97100.0,29.3
28.5,126.10000000000001,97000.0,27.3
27.8,126.2,97100.0,26.200000000000003
27.8,127.10000000000001,96900.0,26.200000000000003
27.1,127.60000000000001,97000.0,26.200000000000003
26.8,128.6,96800.0,28.3
26.8,129.3,96900.0,27.3
26.6,129.8,96700.0,28.8
26.8,131.0,96900.0,27.3
27.0,130.9,96900.0,27.3
26.900000000000002,131.5,97100.0,26.8
27.3,131.6,97100.0,26.200000000000003
27.3,132.0,97500.0,23.700000000000003
27.5,131.2,97100.0,25.700000000000003
27.8,130.5,97300.0,26.8
28.0,129.4,97000.0,28.3
28.1,127.8,97000.0,30.900000000000002
28.2,126.5,96800.0,29.3
28.0,125.0,97000.0,29.8
28.0,123.8,96800.0,36.5
28.2,122.3,96700.0,35.5
28.0,120.7,97500.0,28.3
28.5,118.9,98700.0,16.0
