latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
24.5,129.8,969.0,30.900000000000002
24.900000000000002,128.7,966.0,29.8
25.2,127.9,967.0,28.8
25.3,127.3,963.0,32.4
25.6,127.0,959.0,32.4
25.8,126.0,955.0,35.0
26.0,125.3,958.0,31.900000000000002
25.900000000000002,125.0,959.0,34.5
26.1,124.4,958.0,37.0
26.0,124.0,956.0,44.800000000000004
25.900000000000002,123.8,959.0,38.6
26.0,123.8,956.0,39.6
26.0,123.9,953.0,46.800000000000004
25.900000000000002,124.5,954.0,43.7
26.2,124.4,958.0,38.1
26.3,125.2,959.0,35.5
26.6,125.9,963.0,34.0
27.2,126.8,964.0,34.0
27.6,127.2,967.0,32.4
27.900000000000002,127.5,965.0,31.900000000000002
28.1,128.0,965.0,31.400000000000002
28.2,128.6,965.0,30.400000000000002
28.6,128.9,970.0,28.8
28.5,129.7,968.0,30.900000000000002
28.7,129.9,967.0,31.400000000000002
28.8,129.9,965.0,32.9
29.0,129.6,963.0,32.4
28.8,130.1,958.0,37.0
28.6,129.8,959.0,36.0
28.900000000000002,129.5,959.0,38.6
28.5,129.2,962.0,31.900000000000002
28.400000000000002,128.8,963.0,29.3
28.3,128.7,968.0,28.3
28.400000000000002,128.3,969.0,28.8
28.5,127.8,970.0,28.3
28.5,127.5,972.0,25.700000000000003
28.900000000000002,127.2,975.0,28.3
29.2,126.8,975.0,27.3
29.7,126.2,979.0,26.8
30.1,125.4,977.0,26.8
30.3,125.4,976.0,29.8
