latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.7,91.8,990.0,19.6
22.3,91.0,991.0,14.9
22.6,90.2,988.0,14.9
22.8,88.9,990.0,14.4
22.6,88.60000000000001,986.0,14.4
23.5,87.60000000000001,989.0,13.4
23.6,86.7,985.0,12.9
23.6,85.5,989.0,12.4
23.7,84.10000000000001,989.0,13.4
22.8,83.8,992.0,13.9
24.1,83.9,991.0,10.3
23.3,83.3,994.0,11.8
24.0,83.8,993.0,10.3
24.5,83.5,995.0,11.3
25.2,82.2,993.0,9.8
25.5,80.2,995.0,8.200000000000001
25.400000000000002,79.8,998.0,7.2
25.400000000000002,79.2,997.0,10.8
25.6,80.10000000000001,997.0,9.3
25.6,81.2,994.0,8.8
26.5,81.4,995.0,6.7
27.1,82.60000000000001,998.0,6.7
