latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.8,91.60000000000001,99000.0,15.4
21.8,90.7,99000.0,16.0
22.1,89.4,98800.0,16.0
22.5,88.9,99100.0,15.4
22.8,88.5,98900.0,14.4
23.8,87.5,99100.0,13.9
24.7,85.4,99000.0,12.9
23.7,84.5,99100.0,11.8
23.7,84.0,99000.0,12.9
23.6,83.7,99200.0,12.9
24.0,83.3,98900.0,10.8
24.5,83.2,99300.0,10.3
24.0,82.60000000000001,99300.0,10.3
25.400000000000002,81.2,99800.0,7.2
25.400000000000002,81.2,99700.0,8.200000000000001
25.900000000000002,80.9,99900.0,9.3
26.1,80.9,99600.0,8.200000000000001
25.900000000000002,81.0,99700.0,7.2
26.5,82.2,99800.0,8.8
27.2,81.3,99700.0,6.2
26.900000000000002,84.3,99800.0,5.7
