latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.7,91.8,99000.0,16.0
21.6,91.0,99000.0,19.6
23.2,89.7,99000.0,16.0
22.6,89.0,99200.0,15.4
22.8,87.60000000000001,99100.0,14.4
23.7,86.9,99300.0,11.8
25.5,85.4,99000.0,11.8
24.900000000000002,83.3,99200.0,7.7
24.400000000000002,82.10000000000001,98700.0,12.9
24.7,82.4,99000.0,12.4
25.400000000000002,82.2,98900.0,10.8
25.7,82.2,99400.0,8.200000000000001
26.0,80.9,99400.0,10.8
25.900000000000002,80.5,99600.0,10.8
26.5,80.3,99400.0,8.200000000000001
27.0,80.0,99800.0,7.7
27.1,79.60000000000001,99600.0,6.7
26.8,79.3,99800.0,8.8
27.1,79.60000000000001,99500.0,7.2
27.1,80.0,99800.0,7.7
26.8,80.5,99600.0,7.2
26.5,80.9,99700.0,8.8
