latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
21.0,91.9,99200.0,16.5
20.7,89.2,99200.0,16.5
21.0,90.0,99100.0,16.0
22.2,88.9,99200.0,16.0
22.3,89.10000000000001,99200.0,13.9
23.7,87.8,99200.0,12.4
23.7,86.4,99000.0,12.9
24.400000000000002,85.0,99100.0,12.4
24.0,84.2,98900.0,13.4
24.0,84.0,99000.0,10.3
24.1,83.8,98800.0,10.3
24.400000000000002,83.8,99200.0,11.3
25.1,82.4,99300.0,10.8
25.0,81.5,99600.0,10.8
25.3,81.4,99400.0,7.2
25.6,81.0,99700.0,7.2
25.400000000000002,80.4,99600.0,9.3
25.6,80.2,99900.0,8.8
25.7,80.0,99500.0,8.200000000000001
25.900000000000002,80.10000000000001,99800.0,7.7
25.7,80.5,99700.0,7.7
25.900000000000002,81.0,99500.0,8.8
26.5,82.10000000000001,99500.0,7.7
25.7,81.7,99600.0,8.8
26.3,81.9,99800.0,7.7
26.900000000000002,83.0,99600.0,7.7
26.2,82.4,99900.0,7.7
25.8,82.10000000000001,99800.0,8.8
