latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.7,91.8,98900.0,19.0
21.400000000000002,91.3,98800.0,16.5
24.400000000000002,89.5,98800.0,16.0
23.5,88.3,98800.0,14.4
23.5,87.10000000000001,99100.0,13.9
24.7,85.0,98900.0,11.3
23.7,84.0,99100.0,14.9
24.400000000000002,84.8,99000.0,10.8
24.7,84.2,99000.0,10.3
24.900000000000002,83.8,98900.0,8.8
24.900000000000002,83.7,99300.0,9.8
25.0,83.4,99200.0,10.3
25.1,83.4,99500.0,8.8
25.6,82.7,99400.0,8.200000000000001
25.5,82.0,99600.0,7.7
25.400000000000002,81.9,99500.0,8.8
25.5,81.9,99700.0,8.200000000000001
25.900000000000002,81.4,99600.0,8.8
25.6,81.3,99800.0,7.7
25.400000000000002,81.2,99700.0,8.8
25.8,81.8,99700.0,10.3
25.7,82.2,99300.0,8.8
26.900000000000002,83.60000000000001,99400.0,8.200000000000001
26.0,85.5,99400.0,8.200000000000001
