latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.8,91.5,990.0,17.0
22.1,90.3,989.0,21.6
22.1,89.5,988.0,19.6
22.5,89.5,990.0,18.5
23.2,88.0,989.0,15.4
23.3,87.10000000000001,991.0,13.4
24.5,85.0,990.0,11.3
24.0,84.2,991.0,11.3
23.7,82.7,987.0,14.9
23.7,81.9,990.0,11.3
24.0,81.9,989.0,11.8
24.6,81.7,994.0,10.3
25.0,81.7,994.0,9.8
25.6,81.0,996.0,10.8
26.0,80.0,993.0,9.3
26.2,79.5,997.0,7.7
26.2,79.5,996.0,8.200000000000001
25.900000000000002,79.60000000000001,998.0,8.8
27.8,78.7,998.0,8.200000000000001
25.900000000000002,81.2,996.0,8.200000000000001
26.900000000000002,83.0,997.0,6.7
26.8,82.3,997.0,7.2
28.1,81.3,998.0,8.8
27.0,80.0,995.0,7.7
28.0,81.0,998.0,6.2
26.6,80.60000000000001,998.0,6.7
