latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.7,91.60000000000001,989.0,18.5
21.8,90.60000000000001,988.0,18.5
22.8,89.5,987.0,16.5
23.2,88.5,988.0,17.0
23.3,87.8,988.0,14.9
23.7,87.4,989.0,16.0
24.1,86.0,988.0,12.9
23.7,84.4,991.0,13.4
23.3,84.5,989.0,16.5
23.0,84.60000000000001,991.0,12.9
23.6,85.3,991.0,12.9
23.900000000000002,85.9,994.0,14.4
24.900000000000002,85.7,994.0,12.9
24.900000000000002,86.0,996.0,12.4
24.900000000000002,85.7,995.0,11.3
25.400000000000002,85.5,998.0,10.8
24.900000000000002,85.7,997.0,10.8
24.8,86.2,999.0,10.8
25.6,86.10000000000001,998.0,10.3
25.6,86.60000000000001,996.0,9.3
25.6,87.4,995.0,10.3
25.900000000000002,86.3,995.0,10.8
26.0,85.7,993.0,8.200000000000001
26.1,85.0,996.0,9.3
26.1,85.10000000000001,996.0,7.2
24.8,88.10000000000001,999.0,8.200000000000001
25.8,86.4,1001.0,8.200000000000001
25.8,86.3,1000.0,7.2
