latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.9,-105.0,1009.0,12.9
16.3,-106.9,1010.0,9.8
15.6,-109.7,1011.0,10.8
15.8,-111.10000000000001,1007.0,9.8
15.5,-112.10000000000001,1010.0,10.8
15.3,-113.7,1007.0,13.4
15.0,-114.3,1009.0,12.9
14.8,-116.0,1009.0,11.3
14.700000000000001,-117.5,1010.0,9.8
14.5,-118.2,1008.0,10.3
14.1,-119.2,1010.0,10.3
13.0,-120.8,1010.0,8.200000000000001
12.4,-122.3,1009.0,9.8
11.8,-123.2,1010.0,10.3
11.8,-124.3,1010.0,10.8
13.1,-124.4,1010.0,9.8
13.1,-125.0,1008.0,9.8
13.8,-125.2,1009.0,10.8
13.3,-128.4,1011.0,11.3
14.3,-129.5,1008.0,11.3
14.3,-129.8,1011.0,12.4
15.4,-130.2,1009.0,11.3
16.6,-130.9,1009.0,10.8
18.0,-132.5,1011.0,12.4
