latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.3,-104.60000000000001,1009.0,11.8
15.8,-105.9,1010.0,11.8
15.9,-108.0,1005.0,16.5
16.1,-109.7,1004.0,17.0
16.2,-111.10000000000001,1002.0,16.5
16.0,-112.4,1004.0,17.0
15.700000000000001,-113.7,998.0,22.1
15.700000000000001,-115.10000000000001,998.0,24.700000000000003
15.700000000000001,-116.4,988.0,27.3
15.4,-117.8,988.0,28.8
15.0,-119.3,985.0,33.4
14.700000000000001,-120.8,987.0,30.900000000000002
14.3,-122.2,987.0,29.8
14.0,-123.7,990.0,28.3
13.700000000000001,-125.10000000000001,987.0,30.400000000000002
13.3,-126.3,992.0,26.8
12.8,-127.4,996.0,21.1
12.3,-128.5,999.0,20.6
11.9,-129.7,996.0,22.1
11.5,-131.0,1000.0,19.6
11.3,-132.1,999.0,18.0
11.0,-133.2,1001.0,18.0
10.8,-134.1,1000.0,18.0
10.6,-135.1,1003.0,16.0
11.0,-136.0,1002.0,16.5
11.200000000000001,-136.9,1004.0,17.5
11.4,-137.70000000000002,1003.0,14.4
11.9,-138.5,1006.0,15.4
12.4,-139.3,1005.0,16.0
12.8,-140.1,1008.0,17.5
13.200000000000001,-141.0,1005.0,17.5
13.4,-141.6,1007.0,18.0
13.8,-142.3,1007.0,16.0
14.3,-143.20000000000002,1008.0,17.5
14.700000000000001,-147.20000000000002,1010.0,14.4
14.700000000000001,-148.20000000000002,1010.0,11.8
14.9,-149.8,1011.0,12.4
