latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.1,-103.9,100900.0,10.3
15.9,-106.3,101000.0,14.4
16.2,-108.0,100400.0,15.4
16.2,-109.3,100600.0,16.5
16.2,-110.4,100300.0,14.9
16.1,-111.60000000000001,100700.0,15.4
15.9,-112.8,100400.0,15.4
15.9,-114.4,100500.0,16.5
15.700000000000001,-115.9,100000.0,19.6
15.200000000000001,-117.5,100000.0,21.6
15.0,-118.9,99300.0,24.200000000000003
14.8,-120.4,99000.0,27.8
14.700000000000001,-121.9,98500.0,32.4
14.3,-123.3,98800.0,28.8
14.200000000000001,-124.60000000000001,98200.0,32.9
13.8,-125.9,99200.0,28.8
13.700000000000001,-127.3,99100.0,25.200000000000003
13.5,-128.8,98900.0,26.8
13.1,-130.3,99000.0,25.700000000000003
12.6,-131.7,99400.0,23.200000000000003
12.4,-133.2,98700.0,27.8
11.9,-134.7,99500.0,23.700000000000003
11.4,-136.1,99400.0,22.1
11.200000000000001,-137.20000000000002,99500.0,24.700000000000003
11.6,-138.5,98700.0,28.8
11.700000000000001,-139.8,98500.0,32.4
11.8,-141.20000000000002,98400.0,32.4
11.9,-142.4,98300.0,34.5
12.200000000000001,-143.9,99000.0,27.3
12.6,-145.20000000000002,99200.0,28.8
13.1,-146.8,99000.0,27.8
13.3,-148.1,99000.0,29.3
13.700000000000001,-149.8,99100.0,31.400000000000002
13.8,-151.3,99200.0,30.400000000000002
14.0,-152.9,99400.0,28.3
14.1,-154.5,100100.0,24.200000000000003
14.3,-156.3,100000.0,25.200000000000003
14.3,-158.0,100400.0,23.700000000000003
14.3,-159.70000000000002,100400.0,23.700000000000003
14.0,-161.6,100800.0,19.6
14.0,-163.5,100800.0,18.0
