latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.0,-104.8,1008.0,11.3
15.5,-106.8,1010.0,11.3
15.9,-108.0,1007.0,12.4
15.9,-109.9,1005.0,16.5
15.9,-111.4,1003.0,15.4
15.9,-112.8,1005.0,17.5
15.700000000000001,-114.2,1001.0,18.0
15.5,-115.5,1003.0,19.6
15.200000000000001,-116.9,1000.0,19.0
15.0,-118.3,1003.0,20.1
14.6,-119.9,999.0,23.200000000000003
14.3,-121.5,1002.0,21.6
14.200000000000001,-123.0,998.0,23.200000000000003
13.8,-124.4,1000.0,21.6
13.4,-126.10000000000001,998.0,22.6
12.8,-128.9,1002.0,18.0
12.8,-130.5,1006.0,17.5
12.4,-132.2,1001.0,19.0
12.1,-133.9,1006.0,17.5
12.1,-135.5,1004.0,17.0
11.9,-137.6,1007.0,16.0
11.4,-139.8,1006.0,14.9
11.4,-141.70000000000002,1008.0,15.4
11.4,-143.8,1006.0,13.9
11.4,-145.9,1009.0,14.4
11.1,-148.1,1007.0,14.4
10.9,-150.20000000000002,1009.0,14.4
10.6,-152.5,1007.0,14.9
10.3,-154.9,1009.0,14.9
7.6000000000000005,-159.4,1009.0,14.9
6.9,-162.9,1008.0,12.4
9.4,-164.20000000000002,1009.0,12.9
9.8,-169.8,1009.0,12.4
9.8,-171.70000000000002,1009.0,12.4
9.5,-173.1,1009.0,11.8
9.1,-174.8,1009.0,11.8
