latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.200000000000001,-104.7,1008.0,11.3
15.700000000000001,-105.9,1010.0,12.9
16.2,-107.60000000000001,1007.0,13.9
16.9,-108.8,1008.0,16.5
16.9,-110.4,1003.0,16.5
17.0,-111.60000000000001,1005.0,17.0
16.8,-113.0,1002.0,17.5
16.5,-114.2,1004.0,20.6
16.5,-115.60000000000001,1000.0,19.0
16.1,-116.8,1002.0,19.6
16.2,-118.2,995.0,25.200000000000003
15.9,-119.60000000000001,983.0,36.5
15.700000000000001,-121.0,986.0,28.8
15.4,-122.3,990.0,28.3
15.0,-124.0,985.0,30.400000000000002
14.6,-125.5,989.0,28.8
14.3,-126.9,993.0,24.200000000000003
13.9,-128.6,996.0,24.200000000000003
13.200000000000001,-130.2,995.0,25.200000000000003
12.700000000000001,-131.7,1000.0,21.1
12.5,-133.4,993.0,24.200000000000003
11.9,-134.7,999.0,21.1
11.6,-136.3,998.0,20.1
11.4,-137.70000000000002,1000.0,19.6
11.4,-139.20000000000002,1000.0,18.5
11.4,-140.5,1003.0,18.5
11.200000000000001,-141.9,1000.0,17.0
11.200000000000001,-143.3,1004.0,18.0
11.200000000000001,-145.0,1002.0,16.5
11.3,-146.70000000000002,1005.0,16.5
11.3,-148.3,1004.0,16.5
11.6,-149.9,1006.0,17.5
11.8,-151.6,1005.0,17.0
11.8,-153.3,1007.0,18.5
11.9,-154.9,1004.0,21.6
11.9,-156.4,1006.0,20.6
11.700000000000001,-157.70000000000002,1006.0,16.5
11.5,-159.0,1008.0,14.9
12.0,-161.5,1010.0,13.4
12.4,-163.0,1009.0,14.9
