latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.0,-104.8,1008.0,11.3
15.5,-106.8,1010.0,11.3
15.9,-108.0,1007.0,12.9
15.9,-109.7,1007.0,17.5
15.9,-111.4,1003.0,16.0
15.8,-112.8,1005.0,19.0
15.6,-114.2,1001.0,19.0
15.5,-115.60000000000001,1003.0,20.1
15.200000000000001,-117.0,999.0,22.6
14.700000000000001,-118.5,1002.0,21.1
14.6,-120.0,1000.0,20.6
14.3,-121.60000000000001,1001.0,22.1
14.1,-123.0,1000.0,21.1
13.8,-124.60000000000001,1003.0,19.6
13.3,-126.3,998.0,24.200000000000003
13.0,-129.1,1003.0,17.0
12.6,-130.7,1005.0,18.5
12.1,-132.0,1003.0,16.5
12.0,-133.7,1007.0,17.0
11.9,-135.5,1005.0,15.4
11.700000000000001,-137.4,1008.0,15.4
11.6,-139.3,1006.0,15.4
11.4,-141.5,1009.0,14.9
11.3,-143.70000000000002,1006.0,14.9
11.3,-145.6,1009.0,14.4
11.0,-147.8,1007.0,13.9
11.0,-149.9,1009.0,14.4
10.6,-152.1,1007.0,13.9
10.5,-154.5,1009.0,14.9
9.5,-161.1,1009.0,12.9
9.6,-164.20000000000002,1009.0,13.4
