latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.8,-105.0,1009.0,13.4
15.700000000000001,-107.2,1011.0,11.8
15.5,-109.2,1007.0,14.9
15.4,-110.0,1007.0,13.4
15.8,-111.5,1003.0,14.4
15.700000000000001,-112.7,1006.0,14.4
15.6,-114.0,1002.0,16.5
15.5,-115.4,1003.0,18.5
15.200000000000001,-116.5,998.0,20.1
15.200000000000001,-118.0,996.0,23.700000000000003
15.1,-119.60000000000001,988.0,27.8
15.0,-121.10000000000001,986.0,28.8
14.700000000000001,-122.7,983.0,34.0
14.5,-124.10000000000001,991.0,27.3
14.3,-125.60000000000001,988.0,27.8
14.0,-127.10000000000001,991.0,26.8
13.8,-128.6,995.0,21.1
13.3,-130.1,997.0,23.200000000000003
12.8,-131.7,996.0,22.1
12.3,-133.4,999.0,21.6
12.0,-135.0,998.0,21.1
11.700000000000001,-136.70000000000002,1001.0,20.1
11.3,-138.20000000000002,998.0,19.6
11.4,-139.8,1001.0,20.6
11.200000000000001,-141.4,999.0,20.6
11.200000000000001,-142.9,1002.0,19.0
11.3,-144.5,1001.0,20.6
11.5,-146.20000000000002,1003.0,21.6
11.700000000000001,-148.20000000000002,1001.0,22.6
11.9,-150.3,1003.0,22.1
11.9,-152.6,1002.0,22.1
12.1,-154.6,1002.0,23.700000000000003
12.1,-157.0,1004.0,21.1
12.6,-159.3,1005.0,24.200000000000003
12.8,-161.8,1004.0,21.6
13.3,-166.20000000000002,1007.0,18.0
13.4,-168.4,1009.0,18.0
