latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.200000000000001,-104.7,1009.0,13.4
15.9,-107.0,1011.0,10.3
16.3,-108.5,1008.0,15.4
16.4,-110.4,1007.0,18.5
16.2,-112.2,1004.0,14.9
15.9,-113.5,1007.0,16.0
15.8,-114.7,1003.0,18.0
15.8,-115.9,1005.0,18.5
15.700000000000001,-117.3,998.0,22.6
15.5,-118.7,1003.0,19.6
15.4,-120.2,999.0,20.1
15.200000000000001,-121.8,1004.0,18.5
15.1,-123.2,1004.0,16.5
14.700000000000001,-124.5,1009.0,15.4
14.700000000000001,-126.2,1007.0,13.9
14.5,-127.5,1009.0,12.9
14.200000000000001,-128.7,1007.0,12.9
13.8,-130.3,1010.0,12.4
13.6,-132.0,1008.0,12.4
13.1,-133.8,1011.0,11.3
12.8,-135.5,1008.0,10.8
12.200000000000001,-137.20000000000002,1011.0,12.4
10.4,-138.8,1009.0,12.4
10.0,-141.8,1011.0,12.4
