latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.0,-104.60000000000001,1009.0,11.8
15.5,-106.10000000000001,1011.0,11.8
15.9,-108.3,1008.0,11.3
16.2,-109.7,1010.0,12.4
15.9,-111.4,1006.0,12.4
15.9,-113.0,1008.0,13.9
15.700000000000001,-114.4,1004.0,15.4
15.200000000000001,-115.8,1006.0,16.5
15.1,-117.10000000000001,1003.0,17.5
14.8,-118.7,1006.0,16.5
14.4,-120.10000000000001,999.0,22.1
14.0,-121.60000000000001,1001.0,20.6
13.8,-123.10000000000001,998.0,21.1
13.5,-124.5,998.0,20.6
13.3,-126.0,997.0,20.1
13.4,-127.60000000000001,999.0,22.6
13.6,-129.2,995.0,20.1
13.5,-130.8,999.0,21.6
13.5,-132.4,990.0,27.3
13.3,-133.9,997.0,25.700000000000003
13.3,-135.7,993.0,25.200000000000003
12.9,-137.4,998.0,23.200000000000003
12.6,-139.1,998.0,21.1
12.3,-140.8,1002.0,20.6
12.1,-142.5,1000.0,21.1
11.700000000000001,-144.1,1002.0,23.200000000000003
11.4,-146.0,1001.0,20.6
11.4,-147.9,1004.0,20.1
11.4,-150.0,1002.0,20.6
11.3,-152.1,1005.0,18.5
11.1,-154.20000000000002,1004.0,18.0
11.200000000000001,-156.4,1006.0,20.6
11.4,-158.5,1006.0,20.1
11.5,-160.70000000000002,1007.0,17.0
12.0,-165.3,1008.0,16.5
12.6,-167.5,1008.0,16.5
12.9,-169.70000000000002,1008.0,17.5
13.3,-171.9,1009.0,17.5
14.1,-176.3,1010.0,14.9
