latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.9,-105.0,100700.0,12.9
15.3,-106.4,100600.0,14.9
15.6,-107.7,100400.0,14.9
15.700000000000001,-109.0,100400.0,18.0
15.9,-110.3,100000.0,19.0
16.1,-111.3,100000.0,21.1
16.0,-112.60000000000001,99100.0,22.6
15.8,-114.0,99500.0,24.200000000000003
15.4,-115.4,99300.0,21.6
15.0,-116.60000000000001,99700.0,21.6
14.6,-118.0,99200.0,26.200000000000003
14.200000000000001,-119.3,99500.0,25.200000000000003
14.0,-120.4,99100.0,24.200000000000003
13.700000000000001,-121.5,99400.0,23.200000000000003
13.200000000000001,-122.5,99600.0,19.6
12.8,-123.4,100100.0,17.0
12.6,-124.2,100000.0,15.4
12.4,-125.0,100300.0,15.4
12.200000000000001,-126.0,100000.0,16.5
11.9,-126.3,100300.0,14.9
11.700000000000001,-127.10000000000001,100200.0,13.9
11.700000000000001,-127.2,100500.0,14.4
11.9,-127.7,100300.0,13.4
11.700000000000001,-128.6,100500.0,13.9
11.5,-129.3,100400.0,15.4
12.0,-128.9,100600.0,14.9
12.4,-129.5,100400.0,14.4
12.6,-129.6,100600.0,12.4
13.1,-129.6,100500.0,11.3
13.4,-129.7,100800.0,11.3
13.8,-129.7,100600.0,12.4
14.6,-129.1,100800.0,9.8
