latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.0,-104.8,100900.0,13.4
15.3,-106.3,100900.0,12.9
15.700000000000001,-107.8,100500.0,15.4
16.0,-109.5,100600.0,19.0
16.2,-111.10000000000001,100200.0,18.0
16.2,-112.7,100300.0,22.1
15.9,-114.10000000000001,100000.0,19.6
15.5,-115.60000000000001,100100.0,22.6
15.200000000000001,-116.9,100000.0,19.0
14.9,-118.2,100300.0,19.0
14.6,-119.9,100100.0,19.6
14.3,-121.2,100300.0,19.0
14.3,-122.7,100000.0,20.6
13.8,-124.3,99700.0,24.700000000000003
13.6,-125.8,98800.0,31.900000000000002
13.3,-127.10000000000001,99500.0,25.200000000000003
13.1,-128.5,99300.0,25.200000000000003
12.8,-129.9,99800.0,22.6
12.4,-131.6,99800.0,24.200000000000003
12.0,-133.4,100100.0,22.6
11.9,-135.3,100000.0,21.1
11.700000000000001,-137.3,100200.0,20.6
11.3,-139.20000000000002,100100.0,20.1
11.1,-140.9,100300.0,22.6
10.700000000000001,-142.6,100100.0,19.6
10.6,-144.4,100400.0,20.6
10.5,-146.1,100200.0,18.5
10.4,-148.0,100500.0,19.0
10.5,-150.3,100400.0,19.0
10.4,-155.1,100500.0,20.1
10.4,-157.6,100600.0,20.1
