latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.5,-105.2,1009.0,12.9
15.6,-106.60000000000001,1011.0,10.8
15.4,-108.5,1007.0,13.4
15.6,-109.7,1007.0,15.4
15.9,-110.8,1006.0,11.8
16.2,-112.3,1010.0,11.8
15.200000000000001,-114.2,1005.0,13.9
15.6,-115.60000000000001,1009.0,14.9
15.200000000000001,-117.10000000000001,1005.0,16.5
14.700000000000001,-118.7,1003.0,20.1
14.5,-120.10000000000001,998.0,21.1
14.3,-121.5,1001.0,20.6
14.3,-122.8,998.0,21.1
14.1,-124.4,1000.0,21.6
14.0,-126.0,994.0,23.700000000000003
13.700000000000001,-127.7,996.0,24.200000000000003
13.3,-129.2,996.0,22.1
13.1,-130.9,1000.0,20.1
12.700000000000001,-132.4,997.0,21.6
12.5,-134.1,1001.0,20.6
12.3,-135.9,999.0,20.1
12.1,-137.70000000000002,1002.0,21.1
11.8,-139.5,1000.0,22.1
11.700000000000001,-141.20000000000002,999.0,25.700000000000003
11.5,-143.0,1000.0,21.1
11.4,-144.70000000000002,1004.0,18.5
11.4,-146.6,1002.0,18.5
11.3,-148.4,1005.0,17.0
11.4,-150.3,1004.0,17.0
11.200000000000001,-152.3,1005.0,16.5
11.200000000000001,-154.3,1006.0,17.0
11.4,-156.4,1009.0,16.0
11.700000000000001,-158.5,1008.0,15.4
