latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
15.1,-104.9,1008.0,13.4
15.0,-107.0,1009.0,11.8
15.4,-108.3,1006.0,13.9
15.4,-109.7,1007.0,14.9
15.5,-111.10000000000001,1004.0,14.9
15.700000000000001,-112.60000000000001,1006.0,14.9
15.9,-113.9,1002.0,16.5
16.1,-115.0,1002.0,20.1
15.9,-116.60000000000001,997.0,20.6
16.1,-118.0,1000.0,20.6
16.3,-119.7,994.0,23.700000000000003
16.0,-121.3,990.0,26.8
16.1,-122.9,986.0,30.400000000000002
15.700000000000001,-124.4,996.0,24.200000000000003
15.5,-125.9,996.0,23.200000000000003
15.200000000000001,-127.5,998.0,24.700000000000003
15.0,-129.0,998.0,20.6
14.700000000000001,-130.5,1002.0,19.6
14.5,-132.7,998.0,21.6
14.3,-134.4,1002.0,19.0
14.200000000000001,-136.3,1002.0,17.5
13.8,-138.4,1006.0,17.5
13.4,-140.6,1003.0,19.0
13.200000000000001,-142.70000000000002,1005.0,19.0
12.9,-145.0,1003.0,17.5
12.5,-146.9,1006.0,16.5
12.4,-148.8,1005.0,18.0
11.9,-150.6,1006.0,16.5
11.8,-152.6,1006.0,17.5
11.6,-154.4,1007.0,17.5
11.3,-156.4,1006.0,16.5
11.200000000000001,-158.5,1007.0,16.5
11.200000000000001,-160.4,1007.0,17.5
11.1,-162.70000000000002,1008.0,18.0
11.3,-164.4,1008.0,19.0
11.200000000000001,-166.9,1008.0,18.0
11.0,-168.9,1007.0,17.5
11.3,-171.0,1007.0,18.0
11.5,-172.9,1008.0,16.0
11.4,-175.20000000000002,1008.0,15.4
11.200000000000001,-177.0,1008.0,13.9
